Sample_ID,Treatment,Compartments,Original_label,WEEK,Irrigation,Name1,Name2,sample name
I23.1093.A05,SBW25,rhizosphere,11_D_RS_SB,4weeks,Drought,D4RSSB_1,D4RSSB,YG65
I23.1093.B05,SBW25,rhizosphere,12_D_RS_SB,4weeks,Drought,D4RSSB_2,D4RSSB,YG66
I23.1093.C05,SBW25,rhizosphere,13_D_RS_SB,4weeks,Drought,D4RSSB_3,D4RSSB,YG67
I23.1093.D05,SBW25,rhizosphere,14_D_RS_SB,4weeks,Drought,D4RSSB_4,D4RSSB,YG68
I23.1093.E05,SBW25,rhizosphere,15_D_RS_SB,4weeks,Drought,D4RSSB_5,D4RSSB,YG69
I23.1093.F05,Mutant,rhizosphere,41_D_RS_Mu,4weeks,Drought,D4RSMu_1,D4RSMu,YG70
I23.1093.G05,Mutant,rhizosphere,42_D_RS_Mu,4weeks,Drought,D4RSMu_2,D4RSMu,YG71
I23.1093.H05,Mutant,rhizosphere,43_D_RS_Mu,4weeks,Drought,D4RSMu_3,D4RSMu,YG72
I23.1093.A06,Mutant,rhizosphere,44_D_RS_Mu,4weeks,Drought,D4RSMu_4,D4RSMu,YG73
I23.1093.B06,Mutant,rhizosphere,45_D_RS_Mu,4weeks,Drought,D4RSMu_5,D4RSMu,YG74
I23.1093.C06,Control,rhizosphere,71_D_RS_C,4weeks,Drought,D4RSC_1,D4RSC,YG75
I23.1093.D06,Control,rhizosphere,72_D_RS_C,4weeks,Drought,D4RSC_2,D4RSC,YG76
I23.1093.E06,Control,rhizosphere,73_D_RS_C,4weeks,Drought,D4RSC_3,D4RSC,YG77
I23.1093.F06,Control,rhizosphere,74_D_RS_C,4weeks,Drought,D4RSC_4,D4RSC,YG78
I23.1093.G06,Control,rhizosphere,75_D_RS_C,4weeks,Drought,D4RSC_5,D4RSC,YG79
I23.1093.H06,SBW25,rhizoplane,11_D_RP_SB,4weeks,Drought,D4RPSB_1,D4RPSB,YG80
I23.1093.A07,SBW25,rhizoplane,12_D_RP_SB,4weeks,Drought,D4RPSB_2,D4RPSB,YG81
I23.1093.B07,SBW25,rhizoplane,13_D_RP_SB,4weeks,Drought,D4RPSB_3,D4RPSB,YG82
I23.1093.C07,SBW25,rhizoplane,14_D_RP_SB,4weeks,Drought,D4RPSB_4,D4RPSB,YG83
I23.1093.D07,SBW25,rhizoplane,15_D_RP_SB,4weeks,Drought,D4RPSB_5,D4RPSB,YG84
I23.1093.E07,Mutant,rhizoplane,41_D_RP_Mu,4weeks,Drought,D4RPMu_1,D4RPMu,YG85
I23.1093.F07,Mutant,rhizoplane,42_D_RP_Mu,4weeks,Drought,D4RPMu_2,D4RPMu,YG86
I23.1093.G07,Mutant,rhizoplane,43_D_RP_Mu,4weeks,Drought,D4RPMu_3,D4RPMu,YG87
I23.1093.H07,Mutant,rhizoplane,44_D_RP_Mu,4weeks,Drought,D4RPMu_4,D4RPMu,YG88
I23.1093.A08,Mutant,rhizoplane,45_D_RP_Mu,4weeks,Drought,D4RPMu_5,D4RPMu,YG89
I23.1093.B08,Control,rhizoplane,71_D_RP_C,4weeks,Drought,D4RPC_1,D4RPC,YG90
I23.1093.C08,Control,rhizoplane,72_D_RP_C,4weeks,Drought,D4RPC_2,D4RPC,YG91
I23.1093.D08,Control,rhizoplane,73_D_RP_C,4weeks,Drought,D4RPC_3,D4RPC,YG92
I23.1093.E08,Control,rhizoplane,74_D_RP_C,4weeks,Drought,D4RPC_4,D4RPC,YG93
I23.1093.F08,Control,rhizoplane,75_D_RP_C,4weeks,Drought,D4RPC_5,D4RPC,YG94
I23.1095.A01,SBW25,rhizosphere,1_RS_SB_6,5weeks,Watered,W5RSSB_1,W5RSSB,YG95
I23.1095.B01,SBW25,rhizosphere,2_RS_SB_6,5weeks,Watered,W5RSSB_2,W5RSSB,YG96
I23.1095.C01,SBW25,rhizosphere,3_RS_SB_6,5weeks,Watered,W5RSSB_3,W5RSSB,YG97
I23.1095.D01,SBW25,rhizosphere,4_RS_SB_6,5weeks,Watered,W5RSSB_4,W5RSSB,YG98
I23.1095.E01,SBW25,rhizosphere,5_RS_SB_6,5weeks,Watered,W5RSSB_5,W5RSSB,YG99
I23.1095.F01,Mutant,rhizosphere,6_RS_Mu_6,5weeks,Watered,W5RSMu_1,W5RSMu,YG100
I23.1095.G01,Mutant,rhizosphere,7_RS_Mu_6,5weeks,Watered,W5RSMu_2,W5RSMu,YG101
I23.1095.H01,Mutant,rhizosphere,8_RS_Mu_6,5weeks,Watered,W5RSMu_3,W5RSMu,YG102
